0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:48:28 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:01 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:02 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:21 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:31 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:49:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:50:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:50:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:50:15 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13778
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:50:15 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:50:15 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:16:10 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:16:21 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:16:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:16:36 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13778
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:21:28 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3070
